Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
"Laptop Gaming HP Victus 16-r0228TX 9Q979PA | Core i5 13500H, 32GB, 512GB, RTX 4050 6GB, 16.1'' FHD 144Hz",hp,Intel,i5-13500h,13,4.7,32,DDR5,5200,512,16.1,1920 x 1080,144,NVIDIA,2.3,70 Wh,43990000,https://laptopaz.vn/laptop-gaming-hp-victus-16-r0228tx-9q979pa-core-i5-13500h-32gb-512gb-rtx-4050-6gb-16.1-fhd-144hz.html,az,,
"[Like New] Lenovo ThinkBook 16 G7+ 2025 00CD | Ryzen AI 9 365, 32GB, 1TB, 16.0'' 3K+ 165Hz",lenovo,AMD,ryzen ai 9,9,5.0,32,LPDDR5,,1000,16,,165,AMD,1.9,85 Wh,37990000,https://laptopaz.vn/like-new-lenovo-thinkbook-16-g7-2025-00cd-ryzen-ai-9-365-32gb-1tb-16.0-3k-165hz.html,az,,
"[Review] Lenovo ThinkBook 16 G7+ 2025 00CD | Ryzen AI 9 365, 32GB, 1TB, 16.0'' 3K+ 165Hz",lenovo,AMD,ryzen ai 9,9,5.0,32,LPDDR5,,1000,16,,165,AMD,1.9,85 Wh,37990000,https://laptopaz.vn/review-lenovo-thinkbook-16-g7-2025-00cd-ryzen-ai-9-365-32gb-1tb-16.0-3k-165hz.html,az,,
"[Review] Lenovo Xiaoxin 15c AHP10 83KA0012CD 2025 | Ryzen 7 8745HS, 16GB, 512GB, Radeon 780M, 15.1 icnh 2K+ OLED 165Hz",lenovo,AMD,ryzen 7,7,3.8,16,DDR5,5600,512,15.1,2560 x 1600,165,AMD,1.49,60 Wh,25590000,https://laptopaz.vn/review-lenovo-xiaoxin-15c-ahp10-83ka0012cd-2025-ryzen-7-8745hs-16gb-512gb-radeon-780m-15.1-icnh-2k-oled-165hz.html,az,,
"[Like New] Laptop Gaming HP Victus 15-fa2346TX | Core i7 13620H, 16GB, 1TB, RTX 5060 8GB, 15.6 icnh FHD 144Hz",hp,Intel,i7-13620h,13,4.9,16,DDR5,5200,1000,15.6,1920 x 1080,144,NVIDIA,2.29,70 Wh,43990000,https://laptopaz.vn/like-new-laptop-gaming-hp-victus-15-fa2346tx-core-i7-13620h-16gb-1tb-rtx-5060-8gb-15.6-icnh-fhd-144hz.html,az,,
"[Like New] Lenovo Legion R7000P 2025 | Ryzen 9-8945HX, 16GB, 1TB, RTX 5070 8GB, 16'' 2K+ 240Hz",lenovo,AMD,ryzen 9,9,2.5,16,DDR5,5200,1000,16,2560 x 1600,240,NVIDIA,2.3,80 Wh,36090000,https://laptopaz.vn/like-new-lenovo-legion-r7000p-2025-ryzen-9-8945hx-16gb-1tb-rtx-5070-8gb-16-2k-240hz.html,az,,
"[Like New] Acer Swift 3 SF314-511-7412 | Core i7- 1165G7,  8GB, 512GB, 14' FHD IPS",acer,Intel,core i7,,,8,LPDDR4,,512,14,1920 x 1080,,,1.28,,36990000,https://laptopaz.vn/like-new-acer-swift-3-sf314-511-7412-core-i7-1165g7-8gb-512gb-14-fhd-ips.html,az,,
"[Review] Lenovo ThinkBook 16 G7+ 2025 21TL002CD | UItra 9 285H, 32GB, 1TB, 16 icnh 3K+",lenovo,Intel,,9,5.4,32,DDR5,5600,1000,16,,,Intel,1.9,85 Wh,37990000,https://laptopaz.vn/review-lenovo-thinkbook-16-g7-2025-21tl002cd-uitra-9-285h-32gb-1tb-16-icnh-3k.html,az,,
"[Like New] Lenovo Thinkbook 14 G7+ 2025 00CD | Ultra 5 225H, 32GB, 1TB, 14.5 inch 3K 120Hz",lenovo,Intel,,5,4.9,32,LPDDR5,8533,1000,14.5,3072 x 1920,120,Intel,1.5,85 Wh,37990000,https://laptopaz.vn/like-new-lenovo-thinkbook-14-g7-2025-00cd-ultra-5-225h-32gb-1tb-14.5-inch-3k-120hz.html,az,,
"[Review] Dell Inspiron 16 Plus 7630 R2608S | Core i5-13420H, 16GB, 1TB, Intel Graphics, 16 icnh 2K+",dell,Intel,i5-13420h,13,4.6,16,LPDDR5,,1000,,2560 x 1600,,Intel,2.06,86 Wh,65990000,https://laptopaz.vn/review-dell-inspiron-16-plus-7630-r2608s-core-i5-13420h-16gb-1tb-intel-graphics-16-icnh-2k.html,az,,
Macbook Pro M5 | Macbook Pro 2025 trả góp 0% 12 tháng,apple,,,,,24,,,1000,14,,,,,,41490000,https://cellphones.com.vn/laptop/mac/macbook-pro/macbook-pro-2025.html,cellphones,data/cellphones/raw_htmls/0000.html,
"Macbook Neo 2026 | Giá rẻ HSSV, ưu đãi đến 2.5tr, góp 0%",apple,,,,,8,,,256,13,,,,,,16490000,https://cellphones.com.vn/laptop/mac/macbook-neo.html,cellphones,data/cellphones/raw_htmls/0002.html,
"Macbook | Laptop Apple giá tốt, trả góp 0%, giảm đến 10tr",98.990.000đ,Apple,,,,,,,,,,,Apple,,,15990000,https://cellphones.com.vn/laptop/mac.html,cellphones,data/cellphones/raw_htmls/0006.html,
"Laptop Acer Nitro V | Cấu hình khủng, tiết kiệm 1.5 triệu",acer,Intel,i5-13420h,13,4.60,16,,,2000,15.6,1920 x 1080,,NVIDIA,,57 Wh,16490000,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-58an.html,cellphones,data/cellphones/raw_htmls/0014.html,
"Laptop Gigabyte Gaming A16 GA6H-CMHH2VN893SH | Giá rẻ, trả góp 0%",gigabyte,Intel,i5-13420h,13,4.60,16,,,4000,16,1920 x 1200,,NVIDIA,,76.1 Wh,27790000,https://cellphones.com.vn/laptop-gigabyte-gaming-a16-ga6h-cmhh2vn893sh.html,cellphones,data/cellphones/raw_htmls/0024.html,
"Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV | Giá rẻ, trả góp 0%",acer,Intel,i3-1305u,13,3.3,8,,,2000,14,1920 x 1200,,Intel,,58 Wh,12490000,https://cellphones.com.vn/laptop-acer-aspire-lite-gen-2-al14-52m-32kv.html,cellphones,data/cellphones/raw_htmls/0026.html,
"Laptop ASUS Vivobook S14 S3407QA-SF043WS | Giá rẻ, trả góp 0%",asus,Qualcomm,snapdragon x,,2.97,16,,,512,14,1920 x 1200,,,,70 Wh,23390000,https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407qa-sf043ws.html,cellphones,data/cellphones/raw_htmls/0027.html,
"Laptop Lenovo LOQ 15ARP10E 83S0007AVN | Giá rẻ, trả góp 0%",lenovo,AMD,ryzen 7,7,4.75,16,,,1000,15.6,1920 x 1080,,NVIDIA,,57.5 Wh,27090000,https://cellphones.com.vn/laptop-lenovo-loq-15arp10e-83s0007avn.html,cellphones,data/cellphones/raw_htmls/0028.html,
"Laptop ASUS Vivobook 14 M1405NAQ-LY011W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 7,7,3.2,16,,,512,14,1920 x 1200,,AMD,,42 Wh,18290000,https://cellphones.com.vn/laptop-asus-vivobook-14-m1405naq-ly011w.html,cellphones,data/cellphones/raw_htmls/0029.html,
"Laptop Dell 15 DC15255 DC5R5802W1 | Giá rẻ, trả góp 0%",dell,AMD,ryzen 5,5,2.0,16,,,1000,15.6,1920 x 1080,,AMD,,41 Wh,16890000,https://cellphones.com.vn/laptop-dell-15-dc15255-dc5r5802w1.html,cellphones,data/cellphones/raw_htmls/0030.html,
"Laptop MSI Modern 14 F13MG-240VNCP | Giá rẻ, trả góp 0%",msi,Intel,i5-1335u,13,4.6,16,,,512,14,1920 x 1080,,Intel,,46.8 Wh,16290000,https://cellphones.com.vn/laptop-msi-modern-14-f13mg-240vncp.html,cellphones,data/cellphones/raw_htmls/0031.html,
"Laptop MSI Prestige 14 AI Studio C1UDXG-058VN | Giá rẻ, trả góp 0%",msi,Intel,core ultra 7,7,4.8,16,,,1000,14,1920 x 1200,,NVIDIA,,90 Wh,29990000,https://cellphones.com.vn/laptop-msi-prestige-14-ai-studio-c1udxg-058vn.html,cellphones,data/cellphones/raw_htmls/0032.html,
"Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W | Giá rẻ, trả góp 0%",asus,Intel,i5-13420h,13,2.1,16,,,512,14,1920 x 1200,,Intel,,50 Wh,20690000,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz632w.html,cellphones,data/cellphones/raw_htmls/0033.html,
"Laptop HP Omnibook X Flip 14-FK0092AU BZ7P5PA | Giá rẻ, trả góp 0%",hp,AMD,ryzen ai 5,5,2.00,16,,,512,14,1920 x 1200,,AMD,,59.16 Wh,29790000,https://cellphones.com.vn/laptop-hp-omnibook-x-flip-14-fk0092au-bz7p5pa-ryzen-ai-5.html,cellphones,data/cellphones/raw_htmls/0034.html,
"Laptop Acer Gaming Aspire 7 A715-59G-57TU | Giá rẻ, trả góp 0%",acer,Intel,i5-12450h,12,3.3,16,,,4000,15.6,1920 x 1080,,NVIDIA,,8 Wh,20990000,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,cellphones,data/cellphones/raw_htmls/0035.html,
"Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA | Giá rẻ, trả góp 0%",hp,Intel,core ultra 5,5,80,16,,,512,16,1920 x 1200,,Intel,,59.16 Wh,25690000,https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html,cellphones,data/cellphones/raw_htmls/0036.html,
"Laptop ASUS TUF Gaming F16 FX607VJ-RL034W | Giá rẻ, trả góp 0%",asus,Intel,,,2.2,16,,,2000,16,1920 x 1200,,NVIDIA,,56 Wh,21990000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,cellphones,data/cellphones/raw_htmls/0037.html,
Laptop Acer Gaming Nitro ProPanel ANV15-41-R7CR | Giá rẻ,acer,AMD,ryzen 5,5,3.3,16,,,4000,15.6,1920 x 1080,,NVIDIA,,57 Wh,28990000,https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r7cr.html,cellphones,data/cellphones/raw_htmls/0038.html,
"Laptop HP 15-FD1289TU C2CV8PA | Giá rẻ, trả góp 0%",hp,Intel,core ultra 7,7,4.8,16,,,512,15.6,1920 x 1080,,Intel,,41 Wh,24590000,https://cellphones.com.vn/laptop-hp-15-fd1289tu-c2cv8pa.html,cellphones,data/cellphones/raw_htmls/0039.html,
"Laptop ASUS Vivobook S14 S3407VA-LY146W | Giá rẻ, trả góp 0%",asus,Intel,,,2.2,16,,,512,14,1920 x 1200,,Intel,,70 Wh,18890000,https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly146w.html,cellphones,data/cellphones/raw_htmls/0040.html,
"Laptop ASUS Zenbook A14 UX3407QA-QD299WS | Giá rẻ, trả góp 0%",asus,Qualcomm,snapdragon x,,2.97,16,,,512,14,1920 x 1200,,,,70 Wh,27290000,https://cellphones.com.vn/laptop-asus-zenbook-a14-ux3407qa-qd299ws-copilot-x-plus.html,cellphones,data/cellphones/raw_htmls/0041.html,
"Laptop Dell Pro 15 Essential PV15250 VKVKD | Giá rẻ, trả góp 0%",dell,Intel,,,,8,,,512,15.6,1920 x 1080,,Intel,,41 Wh,12990000,https://cellphones.com.vn/laptop-dell-pro-15-essential-pv15250-vkvkd.html,cellphones,data/cellphones/raw_htmls/0042.html,
"Laptop ASUS TUF Gaming F16 FX607VJB-RL151W | Giá rẻ, trả góp 0%",asus,Intel,,,2.2,16,,,2000,16,1920 x 1200,,NVIDIA,,56 Wh,22390000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vjb-rl151w.html,cellphones,data/cellphones/raw_htmls/0043.html,
"Laptop HP OmniBook 7 14-FR0033TU C1MN2PA | Giá rẻ, trả góp 0%",hp,Intel,core ultra 5,5,4.8,16,,,512,14,1920 x 1200,,Intel,,68 Wh,26790000,https://cellphones.com.vn/laptop-hp-omnibook-7-14-fr0033tu-c1mn2pa.html,cellphones,data/cellphones/raw_htmls/0045.html,
"Laptop Acer Aspire Go 15 AG15-72P-54GY | Giá rẻ, trả góp 0%",acer,Intel,,,3.8,16,,,2000,15.6,1920 x 1080,,Intel,,55 Wh,18990000,https://cellphones.com.vn/laptop-acer-aspire-go-15-ag15-72p-54gy.html,cellphones,data/cellphones/raw_htmls/0046.html,
"Laptop Acer Aspire Lite 15 AL15-42P-R8E6 | Giá rẻ, trả góp 0%",acer,AMD,ryzen 5,5,2.3,16,,,2000,15.6,1920 x 1080,,AMD,,58 Wh,15490000,https://cellphones.com.vn/laptop-acer-aspire-lite-15-al15-42p-r8e6.html,cellphones,data/cellphones/raw_htmls/0047.html,
"Laptop Dell Inspiron 15 3530 J9XFD | Giá rẻ, trả góp 0%",dell,Intel,i5-1334u,13,,16,,,1000,15.6,1920 x 1080,,Intel,,41 Wh,16990000,https://cellphones.com.vn/laptop-dell-inspiron-15-3530-j9xfd.html,cellphones,data/cellphones/raw_htmls/0048.html,
"Laptop Dell 14 DC14250 DC4C5386W | Giá rẻ, trả góp 0%",dell,Intel,,,5,16,,,1000,14,1920 x 1200,,Intel,,54 Wh,19490000,https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5386w.html,cellphones,data/cellphones/raw_htmls/0049.html,
"Laptop HP 245 G10 BG5U8PT | Giá rẻ, trả góp 0%",hp,AMD,ryzen 7,7,5,16,,,512,14,1920 x 1080,,AMD,,41 Wh,17990000,https://cellphones.com.vn/laptop-hp-245-g10-bg5u8pt.html,cellphones,data/cellphones/raw_htmls/0050.html,
"Laptop ASUS Vivobook 14 M1405NAQ-LY010W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 5,5,3.3,16,,,512,14,1920 x 1200,,AMD,,42 Wh,17190000,https://cellphones.com.vn/laptop-asus-vivobook-14-m1405naq-ly010w.html,cellphones,data/cellphones/raw_htmls/0051.html,
"Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W | Giá rẻ, trả góp 0%",asus,Intel,i5-13420h,13,2.1,16,,,512,16,1920 x 1200,,NVIDIA,,50 Wh,19390000,https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp431w.html,cellphones,data/cellphones/raw_htmls/0052.html,
"Laptop Lenovo IdeaPad Flex 5 14ABR8 82XX00FVVN | Giá rẻ, trả góp 0%",lenovo,AMD,ryzen 5,5,4.3,16,,,1000,14,1920 x 1200,,AMD,,52.5 Wh,17490000,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14abr8-82xx00fvvn.html,cellphones,data/cellphones/raw_htmls/0053.html,
"Laptop ASUS TUF Gaming A15 FA506NCG-HN184W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 7,7,3.2,16,,,1000,15.6,1920 x 1080,,NVIDIA,,48 Wh,21790000,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn184w.html,cellphones,data/cellphones/raw_htmls/0054.html,
"Laptop ASUS Gaming V16 V3607VU-RP343W | Giá rẻ, trả góp 0%",asus,Intel,,,2.2,16,,,512,16,1920 x 1200,,NVIDIA,,63 Wh,23890000,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html,cellphones,data/cellphones/raw_htmls/0055.html,
"Laptop Lenovo Legion 5 15IRX10 83LY00HQVN | Giá rẻ, trả góp 0%",lenovo,Intel,i7-13650hx,13,4.9,16,,,1000,15.3,1920 x 1200,,NVIDIA,,80 Wh,41290000,https://cellphones.com.vn/laptop-lenovo-legion-5-15irx10-83ly00hqvn.html,cellphones,data/cellphones/raw_htmls/0056.html,
"Laptop MSI Gaming Thin 15 B13UC-3247VN | Giá rẻ, trả góp 0%",msi,Intel,i5-13420h,13,,16,,,4000,15.6,1920 x 1080,,NVIDIA,,,19990000,https://cellphones.com.vn/laptop-msi-gaming-thin-15-b13uc-3247vn.html,cellphones,data/cellphones/raw_htmls/0057.html,
"Laptop ASUS TUF Gaming F16 FX607VU-RL045W | Giá rẻ, trả góp 0%",asus,Intel,,,2.2,16,,,2000,16,1920 x 1200,,NVIDIA,,56 Wh,26390000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vu-rl045w.html,cellphones,data/cellphones/raw_htmls/0058.html,
"Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ | Giá rẻ, trả góp 0%",acer,Intel,i7-13620h,13,3.6,16,,,2000,16,1920 x 1200,,NVIDIA,,53 Wh,28690000,https://cellphones.com.vn/laptop-acer-gaming-nitro-lite-16-nl16-71g-71uj.html,cellphones,data/cellphones/raw_htmls/0059.html,
"Laptop ASUS Vivobook Go 15 E1504FA-BQ1150W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 5,5,2.8,16,,,512,15.6,1920 x 1080,,AMD,,42 Wh,13790000,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-bq1150w.html,cellphones,data/cellphones/raw_htmls/0060.html,
"Laptop HP 245 G10 B8PF8AT | Giá rẻ, trả góp 0%",hp,AMD,ryzen 5,5,4.5,16,,,256,14,1920 x 1080,,AMD,,41 Wh,13990000,https://cellphones.com.vn/laptop-hp-245-g10-b8pf8at.html,cellphones,data/cellphones/raw_htmls/0061.html,
"Laptop HP Omnibook X Flip 14-FM0088TU BZ7Q2PA | Giá rẻ, trả góp 0%",hp,Intel,core ultra 5,5,4.5,16,,,512,14,1920 x 1200,,Intel,,59 Wh,30390000,https://cellphones.com.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa.html,cellphones,data/cellphones/raw_htmls/0062.html,
"Laptop MSI Katana 15 B13UDXK-2437VN | Giá rẻ, trả góp 0%",msi,Intel,i7-13620h,13,4.90,16,,,1000,15.6,1920 x 1080,,NVIDIA,,53.5 Wh,24590000,https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2437vn.html,cellphones,data/cellphones/raw_htmls/0063.html,
"Laptop MSI Cyborg 15 B13WEKG-676VN | Giá rẻ, trả góp 0%",msi,Intel,i5-13420h,13,4.60,16,,,4000,15.6,1920 x 1080,,NVIDIA,,,33990000,https://cellphones.com.vn/laptop-msi-cyborg-15-b13wekg-676vn.html,cellphones,data/cellphones/raw_htmls/0064.html,
"Laptop Lenovo LOQ 15IRX9 83DV01ALVN | Giá rẻ, trả góp 0%",lenovo,Intel,i7-13650hx,13,4.9,16,,,1000,15.6,1920 x 1080,,NVIDIA,,60 Wh,31990000,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv01alvn.html,cellphones,data/cellphones/raw_htmls/0065.html,
"Laptop ASUS Vivobook 15 X1502VA-BQ886W | Giá rẻ, trả góp 0%",asus,Intel,i7-13620h,13,2.4,16,,,512,15.6,1920 x 1080,,Intel,,42 Wh,20290000,https://cellphones.com.vn/laptop-asus-vivobook-15-x1502va-bq886w.html,cellphones,data/cellphones/raw_htmls/0066.html,
"Laptop Lenovo LOQ 15AHP10 83JG0047VN | Giá rẻ, trả góp 0%",lenovo,AMD,ryzen 7,7,5.1,16,,,1000,15.6,1920 x 1080,,NVIDIA,,60 Wh,33690000,https://cellphones.com.vn/laptop-lenovo-loq-15ahp10-83jg0047vn.html,cellphones,data/cellphones/raw_htmls/0067.html,
"Laptop Dell 15 DC15250 KR0N9 | Giá rẻ, trả góp 0%",dell,Intel,core i5,,,16,,,1000,15.6,1920 x 1080,,Intel,,41 Wh,16490000,https://cellphones.com.vn/laptop-dell-15-dc15250-kr0n9.html,cellphones,data/cellphones/raw_htmls/0068.html,
"Laptop Dell Inspiron 14 5440 D0F3W | Giá rẻ, trả góp 0%",dell,Intel,i5-1334u,13,4.6,24,,,1000,14,1920 x 1080,,Intel,,41 Wh,18290000,https://cellphones.com.vn/laptop-dell-inspiron-14-5440-d0f3w.html,cellphones,data/cellphones/raw_htmls/0069.html,
"Laptop ASUS Vivobook S16 S5606CA-RI171WS | Giá rẻ, trả góp 0%",asus,Intel,core ultra 7,7,2.0,16,,,512,16,2880 x 1800,,Intel,,75 Wh,28890000,https://cellphones.com.vn/laptop-asus-vivobook-s16-s5606ca-ri171ws.html,cellphones,data/cellphones/raw_htmls/0070.html,
"Laptop Lenovo V15 G5 IRL 83HF00BRVA | Giá rẻ, trả góp 0%",lenovo,Intel,i5-13420h,13,4.6,8,,,1000,15.6,1920 x 1080,,Intel,,47 Wh,16390000,https://cellphones.com.vn/laptop-lenovo-v15-g5-irl-83hf00brva.html,cellphones,data/cellphones/raw_htmls/0072.html,
"Laptop HP Omnibook 7 Aero 13-BG1087AU BZ7S1PA | Giá rẻ, trả góp 0%",hp,AMD,ryzen ai 5,5,4.8,16,,,512,13.3,1920 x 1200,,AMD,,43 Wh,27790000,https://cellphones.com.vn/laptop-hp-omnibook-7-aero-13-bg1087au-bz7s1pa-ryzen-ai-5.html,cellphones,data/cellphones/raw_htmls/0073.html,
"Laptop LG Gram Book 15U50T-G.AV56A5 | Giá rẻ, trả góp 0%",lg,Intel,i5-1334u,13,4.6,16,,,512,15.6,1920 x 1080,,Intel,,51 Wh,16390000,https://cellphones.com.vn/laptop-lg-gram-book-15u50t-g-av56a5.html,cellphones,data/cellphones/raw_htmls/0074.html,
"Laptop Lenovo ThinkPad E14 Gen 7 21SX00BNVN | Giá rẻ, trả góp 0%",lenovo,Intel,core ultra 5,5,4.6,16,,,1000,14,1920 x 1200,,Intel,,48 Wh,25990000,https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx00bnvn.html,cellphones,data/cellphones/raw_htmls/0075.html,
"Laptop Acer Nitro V 15 ANV15-41-R1JY | Giá rẻ, trả góp 0%",acer,AMD,ryzen 5,5,3.30,16,,,4000,15.6,1920 x 1080,,NVIDIA,,57 Wh,21290000,https://cellphones.com.vn/laptop-acer-nitro-v-15-anv15-41-r1jy.html,cellphones,data/cellphones/raw_htmls/0077.html,
"Laptop ASUS Vivobook Go 14 E1404FA-EB482W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 5,5,2.8,16,,,512,14,1920 x 1080,,AMD,,42 Wh,13790000,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-eb482w.html,cellphones,data/cellphones/raw_htmls/0079.html,
"Laptop ASUS VivoBook 15 M1502NAQ-BQ021W | Giá rẻ, trả góp 0%",asus,AMD,ryzen 5,5,3.3,16,,,512,15.6,1920 x 1080,,AMD,,42 Wh,17290000,https://cellphones.com.vn/laptop-asus-vivobook-15-m1502naq-bq021w.html,cellphones,data/cellphones/raw_htmls/0081.html,
"Laptop ASUS Vivobook S16 S3607VA-RP056W | Giá rẻ, trả góp 0%",asus,Intel,i7-13620h,13,2.4,16,,,512,16,1920 x 1200,,Intel,,70 Wh,22490000,https://cellphones.com.vn/laptop-asus-vivobook-s16-s3607va-rp056w.html,cellphones,data/cellphones/raw_htmls/0083.html,
"Laptop ASUS TUF Gaming F16 FX608JMR-RV048W | Giá rẻ, trả góp 0%",asus,Intel,core i7,,2.2,16,,,1000,16,1920 x 1200,,NVIDIA,,90 Wh,37890000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx608jmr-rv048w.html,cellphones,data/cellphones/raw_htmls/0102.html,
"Laptop Acer Gaming Nitro ProPanel ANV15-41-R9M1 | Giá rẻ, trả góp 0%",acer,AMD,ryzen 5,5,3.3,16,,,4000,15.6,1920 x 1080,,NVIDIA,,57 Wh,24990000,https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r9m1.html,cellphones,data/cellphones/raw_htmls/0103.html,
"Laptop ASUS Vivobook 15 X1502VA-BQ885W | Giá rẻ, trả góp 0%",asus,Intel,i5-13420h,13,2.1,16,,,512,15.6,1920 x 1080,,Intel,,42 Wh,16890000,https://cellphones.com.vn/laptop-asus-vivobook-15-x1502va-bq885w.html,cellphones,data/cellphones/raw_htmls/0114.html,
"Asus TUF Gaming FA506NCG-HN184W | R7-7445HS/16GB/512GB/15.6""",asus,,,,,16,,,512,15.6,,,,,,21790000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa506ncg-hn184w-r7-7445hs,fpt,data/fpt/raw_htmls/0000.html,
Asus Vivobook Gaming K3605VC-RP431W | i5-13420H/16GB/512GB,asus,Intel,i5-13420h,13,,16,,,512,,,,,,,19590000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-gaming-k3605vc-rp431w-i5-13420h,fpt,data/fpt/raw_htmls/0002.html,
"Macbook Pro M5 2025 | Chính hãng Apple, trả góp 0%",apple,Apple,,,,,,,,,,,Apple,,,41490000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-16gb-512gb,fpt,data/fpt/raw_htmls/0005.html,
Acer Aspire 7 A715-59G-57TU | i5 12450H/16GB/512GB,acer,,,,,16,,,512,,,,,,,20990000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-7-gaming-a715-59g-57tu-i5-12450h-16gb,fpt,data/fpt/raw_htmls/0006.html,
HP 15-fd1289TU (C2CV8PA) | Ultra 7-155H/16GB/512GB,hp,,,7,,16,,,512,,,,,,,24590000,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd1289tu-ultra-7-155h-c2cv8pa,fpt,data/fpt/raw_htmls/0007.html,
"Acer Nitro V 15 ProPanel ANV15-41-R9M1 | R5 7535HS/16GB/512GB/15.6""",acer,,m1,,,16,,,512,15.6,,,,,,24990000,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-41-r9m1-r5-7535hs,fpt,data/fpt/raw_htmls/0008.html,
"HP 14-em0024AU Ryzen 5-7520U (D0BG8PA) chính hãng, giá rẻ",hp,AMD,ryzen 5,5,,,,,,,,,,,,15990000,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-em0024au-ryzen-5-7520u-d0bg8pa,fpt,data/fpt/raw_htmls/0014.html,
"Asus Vivobook M1405NAQ-LY011W | Màu bạc R7 170/16GB/512GB/14""",asus,,m1,,,16,,,512,14,,,,,,18290000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1405naq-ly011w-r7-170,fpt,data/fpt/raw_htmls/0017.html,
"Colorful Rimbook L1 A10205500048 | i5- 12450H/16GB/512GB/15.6""",colorful,,,,,16,,,512,15.6,,,,,,13990000,https://fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i5-12450h-a10205500048,fpt,data/fpt/raw_htmls/0020.html,
"HP OmniBook 7 Aero 13-bg1087AU | Ryzen AI 5 340/16GB/512GB/13.3""",hp,AMD,ryzen ai 5,5,,16,,,512,13.3,,,,,,27790000,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-7-aero-13-bg1087au-ryzen-ai-5-340-bz7s1pa,fpt,data/fpt/raw_htmls/0024.html,
"HP 14-ep0220TU i3-1315U (B73VWPA) | Chính hãng, giá rẻ",hp,Intel,i3-1315u,13,,,,,,,,,,,,12490000,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-ep0220tu-i3-1315u-b73vwpa?sku=00916644,fpt,data/fpt/raw_htmls/0025.html,
Lenovo V15 G4 IRU (83A100PMVN) | CPU i5-13420H/16GB/512GB,lenovo,Intel,i5-13420h,13,,16,,,512,,,,,,,16690000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-83a100pmvn?sku=00916672,fpt,data/fpt/raw_htmls/0030.html,
HP 15-fd1289TU (C2CV8PA) | Ultra 7-155H/16GB/512GB,hp,,,7,,16,,,512,,,,,,,24590000,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd1289tu-ultra-7-155h-c2cv8pa?sku=00922844,fpt,data/fpt/raw_htmls/0033.html,
